id,Subject,YearGroup,Term1Knowledge,Term1Skills,Term2Knowledge,Term2Skills,Term3Knowledge,Term3Skills,Term4Knowledge,Term4Skills,Term5Knowledge,Term5Skills,Term6Knowledge,Term6Skills,Assessment,LiteracyNumeracy,PersonalDevelopment,HomeLearning,Term1Assessment,Term2Assessment,Term3Assessment,Term4Assessment,Term5Assessment,Term6Assessment
563,Maths,Year 5,,,,,,,,,"Decimals, Properties of Shape, Position and Direction","Recognising Maths is in the world around them, developing reasoning and problem solving skills, applying their knowledge of place value to all concepts in Maths.",,,,"Understanding key words/vocabulary, comprehension skills when reading problems.","Problem Solving, Teamwork, Resilience, deep thinking, listening skills, applying their understanding to the world around them",,,,,,,
564,Maths,Year 5,,,,,,,,,,,"Converting units, Volume","Recognising Maths is in the world around them, developing reasoning and problem solving skills, applying their knowledge of place value to all concepts in Maths.",,"Understanding key words/vocabulary, comprehension skills when reading problems.","Problem Solving, Teamwork, Resilience, deep thinking, listening skills, applying their understanding to the world around them",,,,,,,
565,Maths,Year 6,Place Value,"Recognising Maths is in the world around them, developing reasoning and problem solving skills, applying their knowledge of place value to all concepts in Maths.",,,,,,,,,,,,"Understanding key words/vocabulary, comprehension skills when reading problems.","Problem Solving, Teamwork, Resilience, deep thinking, listening skills, applying their understanding to the world around them",,,,,,,
566,Maths,Year 6,,,"Addition and Subtraction, Multiplication and Division","Recognising Maths is in the world around them, developing reasoning and problem solving skills, applying their knowledge of place value to all concepts in Maths.",,,,,,,,,,"Understanding key words/vocabulary, comprehension skills when reading problems.","Problem Solving, Teamwork, Resilience, deep thinking, listening skills, applying their understanding to the world around them",,,,,,,
567,Maths,Year 6,,,,,"Fractions, Position and Direction","Recognising Maths is in the world around them, developing reasoning and problem solving skills, applying their knowledge of place value to all concepts in Maths.",,,,,,,,"Understanding key words/vocabulary, comprehension skills when reading problems.","Problem Solving, Teamwork, Resilience, deep thinking, listening skills, applying their understanding to the world around them",,,,,,,
568,Maths,Year 6,,,,,,,Decimals and Percentages,"Recognising Maths is in the world around them, developing reasoning and problem solving skills, applying their knowledge of place value to all concepts in Maths.",,,,,,"Understanding key words/vocabulary, comprehension skills when reading problems.","Problem Solving, Teamwork, Resilience, deep thinking, listening skills, applying their understanding to the world around them",,,,,,,
569,Maths,Year 6,,,,,,,,,"Algebra, Converting Units","Recognising Maths is in the world around them, developing reasoning and problem solving skills, applying their knowledge of place value to all concepts in Maths.",,,,"Understanding key words/vocabulary, comprehension skills when reading problems.","Problem Solving, Teamwork, Resilience, deep thinking, listening skills, applying their understanding to the world around them",,,,,,,
570,Maths,Year 6,,,,,,,,,,,"Perimeter, Area and Volume, Ratios, Statistics, Properties of Shape","Recognising Maths is in the world around them, developing reasoning and problem solving skills, applying their knowledge of place value to all concepts in Maths.",,"Understanding key words/vocabulary, comprehension skills when reading problems.","Problem Solving, Teamwork, Resilience, deep thinking, listening skills, applying their understanding to the world around them",,,,,,,
571,Maths,Year 7,"Number: Recall Times tables, Bidmas, Place value, Multiply numbers by single digit, Add and subtract numbers with up to 4 digits, Square numbers, Cube numbers, Negative numbers on scales, 4 rules with negatives, Short division, Factors, Long multiplication and division, Rounding, Prime numbers, Multiply and divide by powers of 10","Recognising Maths is in the world around them, developing reasoning and problem solving skills",,,,,,,,,,,,"Key words, vocabulary, worded question comprehension, Exam language",The study of mathematics enables students to make sense of the world around them and we aim to enable each student to explore the connections between their numeracy skills and every-day life.,,,,,,,
572,Maths,Year 7,,,"Simplifying, Recognise next number in a sequence, Substitute numbers into expressions, Plot coordinates in all 4 quadrants, Give next value in sequence and describe how sequence built up, Solve linear equation involving one operation, Collect like terms, Multiply terms, Solve linear equations involving more than one operation, Draw linear graph from table of values","Recognising Maths is in the world around them, developing reasoning and problem solving skills",,,,,,,,,,"Key words, vocabulary, worded question comprehension, Exam language","Problem solving skills and teamwork are fundamental to mathematics through creative thinking, discussion, explaining and presenting ideas.",,,,,,,
573,Maths,Year 7,,,,,"Statistics: Data cycle, Shade in fraction of shape and identify fraction shaded, Add and subtract fractions with same denominator, Recognise equivalent fractions, Cancel fractions, Find a fraction of an integer, Identify equivalent fractions, percentages, decimals for ¼, ½, ¾, tenths and fifths, Add fractions with different denominators, Order and compare fractions, Find % of quantity, Simplify a ratio, Compare prices to find best buy","Recognising Maths is in the world around them, developing reasoning and problem solving skills",,,,,,,,"Key words, vocabulary, worded question comprehension, Exam language",Students are always encouraged to explain concepts to each other and support each other in their learning.,,,,,,,
574,Maths,Year 7,,,,,,,"Geometry: Draw charts and diagrams, Interpret charts and diagrams, Measures of average, Plot coordinates, Work out frequency from frequency table, Probability scale, Conversion graphs, Calculate probability, List outcomes of 2 events, Correlation, Speed, distance, time","Recognising Maths is in the world around them, developing reasoning and problem solving skills",,,,,,"Key words, vocabulary, worded question comprehension, Exam language","In this manner, students realise their own strengths and feel a sense of achievement which often boosts confidence.",,,,,,,
575,Maths,Year 7,,,,,,,,,"Exam practice and Tell time using analogue and digital clocks, Read scales with variety of divisions, Identify standard metric units, Measure and draw line accurately, Round decimal numbers to 1,2,3 places, Use four operations with decimals, Convert from one metric unit to another, Convert metric to imperial given conversion","Recognising Maths is in the world around them, developing reasoning and problem solving skills",,,,"Key words, vocabulary, worded question comprehension, Exam language",We hope that over time they become more independent and resilient learners.,,,,,,,
576,Maths,Year 7,,,,,,,,,,,"Exam practice and Perimeter of 2D shape, Lines of symmetry, Name 2D and 3D shapes, Circle terminology, Draw circle ; given radius/d, Nets of 3D shapes, Area of rectangle, Rotational symmetry, Measure and draw angles and lines, Use fact angles at a point angles on a straight line, Angles in triangles, Angles in quadrilateral, Area of triangle, Reflection in a mirror line, Volume of a cuboid, Angles in parallel lines, Area of parallelogram, Area of trapezium, Area and circumference of circles, Translation, Rotation, Enlargement","Recognising Maths is in the world around them, developing reasoning and problem solving skills",,"Key words, vocabulary, worded question comprehension, Exam language",Mathematics is a universal language with cultural inputs from throughout the ages.,,,,,,,
577,Maths,Year 8,"Number: Recall Times tables, Bidmas, Place value, Multiply numbers by single digit, Add and subtract numbers with up to 4 digits, Square numbers, Cube numbers, Negative numbers on scales, 4 rules with negatives, Short division, Factors, Long multiplication and division, Rounding, Prime numbers, Multiply and divide by powers of 10","Recognising Maths is in the world around them, developing reasoning and problem solving skills",,,,,,,,,,,,"Key words, vocabulary, worded question comprehension, Exam language",The study of mathematics enables students to make sense of the world around them and we aim to enable each student to explore the connections between their numeracy skills and every-day life.,,,,,,,
578,Maths,Year 8,,,"Simplifying, Recognise next number in a sequence, Substitute numbers into expressions, Plot coordinates in all 4 quadrants, Give next value in sequence and describe how sequence built up, Solve linear equation involving one operation, Collect like terms, Multiply terms, Solve linear equations involving more than one operation, Draw linear graph from table of values","Recognising Maths is in the world around them, developing reasoning and problem solving skills",,,,,,,,,,"Key words, vocabulary, worded question comprehension, Exam language","Problem solving skills and teamwork are fundamental to mathematics through creative thinking, discussion, explaining and presenting ideas.",,,,,,,
579,Maths,Year 8,,,,,"Statistics: Data cycle, Shade in fraction of shape and identify fraction shaded, Add and subtract fractions with same denominator, Recognise equivalent fractions, Cancel fractions, Find a fraction of an integer, Identify equivalent fractions, percentages, decimals for ¼, ½, ¾, tenths and fifths, Add fractions with different denominators, Order and compare fractions, Find % of quantity, Simplify a ratio, Compare prices to find best buy","Recognising Maths is in the world around them, developing reasoning and problem solving skills",,,,,,,,"Key words, vocabulary, worded question comprehension, Exam language",Students are always encouraged to explain concepts to each other and support each other in their learning.,,,,,,,
580,Maths,Year 8,,,,,,,"Geometry: Draw charts and diagrams, Interpret charts and diagrams, Measures of average, Plot coordinates, Work out frequency from frequency table, Probability scale, Conversion graphs, Calculate probability, List outcomes of 2 events, Correlation, Speed, distance, time","Recognising Maths is in the world around them, developing reasoning and problem solving skills",,,,,,"Key words, vocabulary, worded question comprehension, Exam language","In this manner, students realise their own strengths and feel a sense of achievement which often boosts confidence.",,,,,,,
581,Maths,Year 8,,,,,,,,,"Exam practice and Tell time using analogue and digital clocks, Read scales with variety of divisions, Identify standard metric units, Measure and draw line accurately, Round decimal numbers to 1,2,3 places, Use four operations with decimals, Convert from one metric unit to another, Convert metric to imperial given conversion","Recognising Maths is in the world around them, developing reasoning and problem solving skills",,,,"Key words, vocabulary, worded question comprehension, Exam language",We hope that over time they become more independent and resilient learners.,,,,,,,
582,Maths,Year 8,,,,,,,,,,,"Exam practice and Perimeter of 2D shape, Lines of symmetry, Name 2D and 3D shapes, Circle terminology, Draw circle ; given radius/d, Nets of 3D shapes, Area of rectangle, Rotational symmetry, Measure and draw angles and lines, Use fact angles at a point angles on a straight line, Angles in triangles, Angles in quadrilateral, Area of triangle, Reflection in a mirror line, Volume of a cuboid, Angles in parallel lines, Area of parallelogram, Area of trapezium, Area and circumference of circles, Translation, Rotation, Enlargement","Recognising Maths is in the world around them, developing reasoning and problem solving skills",,"Key words, vocabulary, worded question comprehension, Exam language",Mathematics is a universal language with cultural inputs from throughout the ages.,,,,,,,
583,Maths,Year 9,"Number: Recall Times tables, Bidmas, Place value, Multiply numbers by single digit, Add and subtract numbers with up to 4 digits, Square numbers, Cube numbers, Negative numbers on scales, 4 rules with negatives, Short division, Factors, Long multiplication and division, Rounding, Prime numbers, Multiply and divide by powers of 10","Recognising Maths is in the world around them, developing reasoning and problem solving skills",,,,,,,,,,,,"Key words, vocabulary, worded question comprehension, Exam language",The study of mathematics enables students to make sense of the world around them and we aim to enable each student to explore the connections between their numeracy skills and every-day life.,,,,,,,
584,Maths,Year 9,,,"Simplifying, Recognise next number in a sequence, Substitute numbers into expressions, Plot coordinates in all 4 quadrants, Give next value in sequence and describe how sequence built up, Solve linear equation involving one operation, Collect like terms, Multiply terms, Solve linear equations involving more than one operation, Draw linear graph from table of values","Recognising Maths is in the world around them, developing reasoning and problem solving skills",,,,,,,,,,"Key words, vocabulary, worded question comprehension, Exam language","Problem solving skills and teamwork are fundamental to mathematics through creative thinking, discussion, explaining and presenting ideas.",,,,,,,
585,Maths,Year 9,,,,,"Statistics: Data cycle, Shade in fraction of shape and identify fraction shaded, Add and subtract fractions with same denominator, Recognise equivalent fractions, Cancel fractions, Find a fraction of an integer, Identify equivalent fractions, percentages, decimals for ¼, ½, ¾, tenths and fifths, Add fractions with different denominators, Order and compare fractions, Find % of quantity, Simplify a ratio, Compare prices to find best buy","Recognising Maths is in the world around them, developing reasoning and problem solving skills",,,,,,,,"Key words, vocabulary, worded question comprehension, Exam language",Students are always encouraged to explain concepts to each other and support each other in their learning.,,,,,,,
586,Maths,Year 9,,,,,,,"Geometry: Draw charts and diagrams, Interpret charts and diagrams, Measures of average, Plot coordinates, Work out frequency from frequency table, Probability scale, Conversion graphs, Calculate probability, List outcomes of 2 events, Correlation, Speed, distance, time","Recognising Maths is in the world around them, developing reasoning and problem solving skills",,,,,,"Key words, vocabulary, worded question comprehension, Exam language","In this manner, students realise their own strengths and feel a sense of achievement which often boosts confidence.",,,,,,,
587,Maths,Year 9,,,,,,,,,"Exam practice and Tell time using analogue and digital clocks, Read scales with variety of divisions, Identify standard metric units, Measure and draw line accurately, Round decimal numbers to 1,2,3 places, Use four operations with decimals, Convert from one metric unit to another, Convert metric to imperial given conversion","Recognising Maths is in the world around them, developing reasoning and problem solving skills",,,,"Key words, vocabulary, worded question comprehension, Exam language",We hope that over time they become more independent and resilient learners.,,,,,,,
588,Maths,Year 9,,,,,,,,,,,"Exam practice and Perimeter of 2D shape, Lines of symmetry, Name 2D and 3D shapes, Circle terminology, Draw circle ; given radius/d, Nets of 3D shapes, Area of rectangle, Rotational symmetry, Measure and draw angles and lines, Use fact angles at a point angles on a straight line, Angles in triangles, Angles in quadrilateral, Area of triangle, Reflection in a mirror line, Volume of a cuboid, Angles in parallel lines, Area of parallelogram, Area of trapezium, Area and circumference of circles, Translation, Rotation, Enlargement","Recognising Maths is in the world around them, developing reasoning and problem solving skills",,"Key words, vocabulary, worded question comprehension, Exam language",Mathematics is a universal language with cultural inputs from throughout the ages.,,,,,,,
589,Maths,Year 10,"Number: Proportion of a of a quantity, Calculations with the four rules, Types of numbers, Powers of 10, Indices, Calculations with fractions, decimals and percentages, Proportion – direct and inverse, Proportions of quantities, Equivalences between FDP, Interest rates and depreciation, Multiplying by powers of 10 and standard form, BIDMAS","Recognising Maths is in the world around them, developing reasoning and problem solving skills",,,,,,,,,,,,"Key words, vocabulary, worded question comprehension, Exam language",The study of mathematics enables students to make sense of the world around them and we aim to enable each student to explore the connections between their numeracy skills and every-day life.,,,,,,,
590,Maths,Year 10,,,"Simplifying, Collecting like terms, Forming expressions, Solving linear equations, Solving quadratics, Factorising, Expanding and simplifying, Substitution into polynomials, Index laws, Inequalities, Simultaneous equations, Graphs of linear and quadratic functions, Functions and inverse functions, Iteration","Recognising Maths is in the world around them, developing reasoning and problem solving skills",,,,,,,,,,"Key words, vocabulary, worded question comprehension, Exam language","Problem solving skills and teamwork are fundamental to mathematics through creative thinking, discussion, explaining and presenting ideas.",,,,,,,
591,Maths,Year 10,,,,,"Statistics: Data cycle, Mean, Mode, Median, Range, Cumulative frequency, Scatter graphs","Recognising Maths is in the world around them, developing reasoning and problem solving skills",,,,,,,,"Key words, vocabulary, worded question comprehension, Exam language",Students are always encouraged to explain concepts to each other and support each other in their learning.,,,,,,,
592,Maths,Year 10,,,,,,,"Geometry: Properties of angles, Constructions, Transformations, Circle properties, Circle theorems, Properties of polygons, Interior and exterior angles","Recognising Maths is in the world around them, developing reasoning and problem solving skills",,,,,,"Key words, vocabulary, worded question comprehension, Exam language","In this manner, students realise their own strengths and feel a sense of achievement which often boosts confidence.",,,,,,,
593,Maths,Year 10,,,,,,,,,Exam practice and individual target setting,"Recognising Maths is in the world around them, developing reasoning and problem solving skills",,,,"Key words, vocabulary, worded question comprehension, Exam language",We hope that over time they become more independent and resilient learners.,,,,,,,
594,Maths,Year 10,,,,,,,,,,,Exam practice and Exams,"Recognising Maths is in the world around them, developing reasoning and problem solving skills",,"Key words, vocabulary, worded question comprehension, Exam language",Mathematics is a universal language with cultural inputs from throughout the ages.,,,,,,,
595,Maths,Year 11,"Apply four number operations to integers, negatives, decimals and fractions, BIDMAS, Round to significant figures and decimal places, Estimation of answers, Use calculators, Prime numbers, factors, multiples, squares, cubes, roots, indices, Prime factors, HCF, LCM, Indices rules, Probability scale, Probabilities add to 1, Probability experiments, Probability vocabulary, Frequency trees, venn diagrams, Sample space and 2 way tables, Theoretical and actual probability, Use probability trees for independent events and conditional probabilities","Recognising Maths is in the world around them, developing reasoning and problem solving skills",,,,,,,,,,,,"Key words, vocabulary, worded question comprehension, Exam language",The study of mathematics enables students to make sense of the world around them and we aim to enable each student to explore the connections between their numeracy skills and every-day life.,,,,,,,
596,Maths,Year 11,,,"Rotate and reflect shapes, Translate shapes using vectors, Enlarge shapes including using fractional scale factors, Combine rotations, reflections, enlargements, Solve transformations on axes, Add, subtract, multiply vectors, Use diagrammatic and column vectors, Mocks in Late Nov / early Dec","Recognising Maths is in the world around them, developing reasoning and problem solving skills",,,,,,,,,,"Key words, vocabulary, worded question comprehension, Exam language","Problem solving skills and teamwork are fundamental to mathematics through creative thinking, discussion, explaining and presenting ideas.",,,,,,,
597,Maths,Year 11,,,,,"Use scale factors, use ratio notation, Work out ratio problems, Best buys, Use proportion – direct and inverse, Compare lengths, areas, volumes using ratios, Identify congruent shapes – triangles SSS, SAS, ASA, RHS, Identify congruency and similarity","Recognising Maths is in the world around them, developing reasoning and problem solving skills",,,,,,,,"Key words, vocabulary, worded question comprehension, Exam language",Students are always encouraged to explain concepts to each other and support each other in their learning.,,,,,,,
598,Maths,Year 11,,,,,,,"Simultaneous equations, Inequalities – show on number lines, solve, Plot in all 4 quadrants, Y=mx+c, including gradients and intercepts, Quadratic graphs, gradients, intercepts, roots","Recognising Maths is in the world around them, developing reasoning and problem solving skills",,,,,,"Key words, vocabulary, worded question comprehension, Exam language","In this manner, students realise their own strengths and feel a sense of achievement which often boosts confidence.",,,,,,,
599,Maths,Year 11,,,,,,,,,"Practice papers, sample exam questions and answers, worked examples, Revision of areas of concern.","Recognising Maths is in the world around them, developing reasoning and problem solving skills",,,,"Key words, vocabulary, worded question comprehension, Exam language",We hope that over time they become more independent and resilient learners.,,,,,,,
600,Maths,Year 11,,,,,,,,,,,Exam practice and exams,"Recognising Maths is in the world around them, developing reasoning and problem solving skills",,"Key words, vocabulary, worded question comprehension, Exam language",Mathematics is a universal language with cultural inputs from throughout the ages.,,,,,,,
601,Maths,Post 16,"GCSE Mathematics: Foundation: Number, Multiplication, division, square and cube numbers","Recognising Maths is in the world around them, developing reasoning and problem solving skills",,,,,,,,,,,,"Key words, vocabulary, worded question comprehension",Providing links with the wider community and the world of work,,,,,,,
602,Maths,Post 16,,,"Foundation: Algebra, equations, substitution, simplifying","Recognising Maths is in the world around them, developing reasoning and problem solving skills",,,,,,,,,,"Key words, vocabulary, worded question comprehension",Experience curiosity,,,,,,,
603,Maths,Post 16,,,,,Geometry: Angle properties and problems,"Recognising Maths is in the world around them, developing reasoning and problem solving skills",,,,,,,,"Key words, vocabulary, worded question comprehension",Developing deep thinking and an ability to question the way in which the world works promotes the spiritual growth of students.,,,,,,,
604,Maths,Post 16,,,,,,,"Foundation: Fractions and decimals, Scale factors","Recognising Maths is in the world around them, developing reasoning and problem solving skills",,,,,,"Key words, vocabulary, worded question comprehension","Students are encouraged to see the sequences, patterns, symmetry and scale both in the man-made and the natural world and to use maths as a tool to explore it more fully.",,,,,,,
605,Maths,Post 16,,,,,,,,,"Foundation: Statistics, simultaneous equations","Recognising Maths is in the world around them, developing reasoning and problem solving skills",,,,"Key words, vocabulary, worded question comprehension",Pupils are provided with opportunities to use their maths skills in real life contexts.,,,,,,,
606,Maths,Post 16,,,,,,,,,,,Revision and exam practice,"Recognising Maths is in the world around them, developing reasoning and problem solving skills",,"Key words, vocabulary, worded question comprehension","Problem solving skills and teamwork are fundamental to mathematics through creative thinking, discussion, explaining and presenting ideas.",,,,,,,
607,French,Year 3,Introductions,"Number names, counting vocabulary",,,,,,,,,,,,"Speaking skills, spelling",Building confidence,,,,,,,
608,French,Year 3,,,Introductions,"Number names, counting vocabulary",,,,,,,,,,"Speaking skills, spelling",Building confidence,,,,,,,
609,French,Year 3,,,,,The family,"Number names, counting vocabulary",,,,,,,,"Speaking skills, spelling",Family and culture,,,,,,,
610,French,Year 3,,,,,,,The family,"Number names, counting vocabulary",,,,,,"Speaking skills, spelling",Family and culture,,,,,,,
611,French,Year 3,,,,,,,,,Body parts,"Number names, counting vocabulary",,,,"Speaking skills, spelling",Building confidence,,,,,,,
612,French,Year 3,,,,,,,,,,,Body parts,"Number names, counting vocabulary",,"Speaking skills, spelling",Building confidence,,,,,,,
613,French,Year 4,Numbers 1-15,"Number names, counting vocabulary",,,,,,,,,,,,"Speaking skills, spelling",Building confidence,,,,,,,
614,French,Year 4,,,Numbers 1-15,"Number names, counting vocabulary",,,,,,,,,,"Speaking skills, spelling",Building confidence,,,,,,,
615,French,Year 4,,,,,Me and my family,"Number names, counting vocabulary",,,,,,,,"Speaking skills, spelling",Discussing families,,,,,,,
616,French,Year 4,,,,,,,Me and my family,"Number names, counting vocabulary",,,,,,"Speaking skills, spelling",Discussing families,,,,,,,
617,French,Year 4,,,,,,,,,Body parts,"Number names, counting vocabulary",,,,"Speaking skills, spelling",Building confidence,,,,,,,
618,French,Year 4,,,,,,,,,,,Body parts,"Number names, counting vocabulary",,"Speaking skills, spelling",Building confidence,,,,,,,
619,French,Year 5,France and French landmarks,"Number names, counting vocabulary",,,,,,,,,,,,"Speaking skills, spelling",Perseverance,,,,,,,
620,French,Year 5,,,France and French landmarks,"Number names, counting vocabulary",,,,,,,,,,"Speaking skills, spelling",Perseverance,,,,,,,
621,French,Year 5,,,,,Hobbies and interests,"Number names, counting vocabulary",,,,,,,,"Speaking skills, spelling",Thoughts and opinions,,,,,,,
622,French,Year 5,,,,,,,Hobbies and interests,"Number names, counting vocabulary",,,,,,"Speaking skills, spelling",Thoughts and opinions,,,,,,,
623,French,Year 5,,,,,,,,,Colours,"Number names, counting vocabulary",,,,"Speaking skills, spelling",Building confidence,,,,,,,
624,French,Year 5,,,,,,,,,,,Colours,"Number names, counting vocabulary",,"Speaking skills, spelling",Building confidence,,,,,,,
625,French,Year 6,Me and my family,"Number names, counting vocabulary",,,,,,,,,,,,"Speaking skills, spelling",Building confidence,,,,,,,
626,French,Year 6,,,Me and my family,"Number names, counting vocabulary",,,,,,,,,,"Speaking skills, spelling",Building confidence,,,,,,,
627,French,Year 6,,,,,Hobbies and interests,"Number names, counting vocabulary",,,,,,,,"Speaking skills, spelling",Thoughts and opinions,,,,,,,
628,French,Year 6,,,,,,,Hobbies and interests,"Number names, counting vocabulary",,,,,,"Speaking skills, spelling",Thoughts and opinions,,,,,,,
629,French,Year 6,,,,,,,,,Colours,"Number names, counting vocabulary",,,,"Speaking skills, spelling",Culture in France,,,,,,,
630,French,Year 6,,,,,,,,,,,Colours,"Number names, counting vocabulary",,"Speaking skills, spelling",Culture in France,,,,,,,
631,French,Year 7,"Greeting, Alphabet, Numbers, Ages","Numbers, months, dates",,,,,,,,,,,,Conversation skills,Opportunities to be inquisitive,,,,,,,
632,French,Year 7,,,"Greeting, Alphabet, Numbers, Ages","Numbers, months, dates",,,,,,,,,,Conversation skills,Opportunities to be inquisitive,,,,,,,
633,French,Year 7,,,,,Classroom objects and instructions,Counting and estimating,,,,,,,,"Adjectives, definite and indefinite article",Recognising & accepting difference & diversity,,,,,,,
634,French,Year 7,,,,,,,Classroom objects and instructions,Counting and estimating,,,,,,"Adjectives, definite and indefinite article",Recognising & accepting difference & diversity,,,,,,,
635,French,Year 7,,,,,,,,,"Hobbies, Likes / dislikes, Food","Times, numbers",,,,Creating extended sentences,Opportunities to be inquisitive,,,,,,,
636,French,Year 7,,,,,,,,,,,"Hobbies, Likes / dislikes, Food","Times, numbers",,Creating extended sentences,Opportunities to be inquisitive,,,,,,,
637,French,Year 8,"Sports and Hobbies, Talking about the internet using er verbs","Grammar, spelling",,,,,,,,,,,,Using verbs,Knowledge of French sports and culture,,,,,,,
638,French,Year 8,,,"Sports and Hobbies, Talking about the internet using er verbs","Grammar, spelling",,,,,,,,,,Using verbs,Knowledge of French sports and culture,,,,,,,
639,French,Year 8,,,,,"Local Area, Places in the town, Directions","Grammar, spelling",,,,,,,,Giving opinions and reasons,Understanding of French culture,,,,,,,
640,French,Year 8,,,,,,,"Local Area, Places in the town, Directions","Grammar, spelling",,,,,,Giving opinions and reasons,Understanding of French culture,,,,,,,
641,French,Year 8,,,,,,,,,"Paris, Saying you like doing and can do, Tourist information",Money and prices,,,,"Extended opinion sentences, Connectives and qualifiers",Understanding of French culture,,,,,,,
642,French,Year 8,,,,,,,,,,,"Paris, Saying you like doing and can do, Tourist information",Money and prices,,"Extended opinion sentences, Connectives and qualifiers",Understanding of French culture,,,,,,,
643,French,Year 9,"Where you go and what activities you do on holiday, Weather, Er verbs",Money and change,,,,,,,,,,,,Creating extended sentences,Experience sense of belonging,,,,,,,
644,French,Year 9,,,"Where you go and what activities you do on holiday, Weather, Er verbs",Money and change,,,,,,,,,,Creating extended sentences,Experience sense of belonging,,,,,,,
645,French,Year 9,,,,,"Holiday questions and answers, Clothes and items to pack for a holiday, Past holiday experiences",English and French spellings,,,,,,,,Tenses,Understanding of French culture,,,,,,,
646,French,Year 9,,,,,,,"Holiday questions and answers, Clothes and items to pack for a holiday, Past holiday experiences",English and French spellings,,,,,,Tenses,Understanding of French culture,,,,,,,
647,French,Year 9,,,,,,,,,"Parts of the body, Illnesses and injuries, Visiting a doctor/pharmacy","Weights, prices",,,,Conversation skills,Recognising & accepting difference & diversity,,,,,,,
648,French,Year 9,,,,,,,,,,,"Parts of the body, Illnesses and injuries, Visiting a doctor/pharmacy","Weights, prices",,Conversation skills,Recognising & accepting difference & diversity,,,,,,,
649,French,Year 10,"All about me, Relationships",Times and dates,,,,,,,,,,,,Tenses,Understanding the value of relationships,,,,,,,
650,French,Year 10,,,"All about me, Relationships",Times and dates,,,,,,,,,,Tenses,Understanding the value of relationships,,,,,,,
651,French,Year 10,,,,,Education,Tenses,,,,,,,,Extended sentences,Values of school community,,,,,,,
652,French,Year 10,,,,,,,Education,Tenses,,,,,,Extended sentences,Values of school community,,,,,,,
653,French,Year 10,,,,,,,,,Future plans,Tenses,,,,Extended sentences,Recognising & accepting difference & diversity,,,,,,,
654,French,Year 10,,,,,,,,,,,Future plans,Tenses,,Extended sentences,Recognising & accepting difference & diversity,,,,,,,
655,French,Year 11,Environment,Extended sentences,,,,,,,,,,,,Tenses,Appreciate the natural world,,,,,,,
656,French,Year 11,,,Environment,Extended sentences,,,,,,,,,,Tenses,Appreciate the natural world,,,,,,,
657,French,Year 11,,,,,"Healthy lifestyle, Social Issues",Tenses,,,,,,,,Extended sentences,Developing individual self-evaluation,,,,,,,
658,French,Year 11,,,,,,,"Healthy lifestyle, Social Issues",Tenses,,,,,,Extended sentences,Developing individual self-evaluation,,,,,,,
659,French,Year 11,,,,,,,,,Free time and the media,Extended sentences,,,,Tenses,Recognising & accepting difference & diversity,,,,,,,
660,French,Year 11,,,,,,,,,,,Free time and the media,Extended sentences,,Tenses,Recognising & accepting difference & diversity,,,,,,,
661,Food and Nutrition,Year 7,Food & Science,"Measurement, Ratio, Fractions",,,,,,,,,,,,"Descriptive adjectives, Subject specific terminology","Spiritual – Encouraging self awareness, Experience opportunities for creativity through practical outcomes. Develop an understanding of others and their dietary needs and accepting difference and diversity in food choices.",,,,,,,
662,Food and Nutrition,Year 7,,,Knife skills,"Measurement, Ratio, Fractions",,,,,,,,,,"Descriptive adjectives, Subject specific terminology","Moral- Acknowledging and exploring government guidelines for healthy eating, dietary requirements to make healthy life choices. Promoting opportunities to explore food around the world through sensory testing.",,,,,,,
663,Food and Nutrition,Year 7,,,,,Food Preparation,"Measurement, Ratio, Fractions",,,,,,,,"Descriptive adjectives, Subject specific terminology",Social- Promoting participation and teamwork in practical cooking lessons – encouraging pupils to work co-operatively.,,,,,,,
664,Food and Nutrition,Year 7,,,,,,,Measuring skills,"Measurement, Ratio, Fractions",,,,,,"Descriptive adjectives, Subject specific terminology",Cultural- Giving pupils the opportunity to explore cultural differences in food and diet – to explore their own cultural assumptions and values.,,,,,,,
665,Food and Nutrition,Year 7,,,,,,,,,Food hygiene and safety,"Measurement, Ratio, Fractions",,,,"Descriptive adjectives, Subject specific terminology",Pupils learn about Government guidance given on Healthy Eating and the concern for the health of the British population.,,,,,,,
666,Food and Nutrition,Year 7,,,,,,,,,,,Using the cooker safely,"Measurement, Ratio, Fractions",,"Descriptive adjectives, Subject specific terminology",Experience opportunities for personal enrichment through cultural experiences.,,,,,,,
667,Food and Nutrition,Year 8,Eatwell guide,"Measurement, Ratio, Fractions",,,,,,,,,,,,"Descriptive adjectives, Subject specific terminology","Spiritual – Encouraging self awareness, Experience opportunities for creativity through practical outcomes. Develop an understanding of others and their dietary needs and accepting difference and diversity in food choices. Experience opportunities to taste and explore new foods.",,,,,,,
668,Food and Nutrition,Year 8,,,Measuring skills,"Measurement, Ratio, Fractions",,,,,,,,,,"Descriptive adjectives, Subject specific terminology","Moral- Acknowledging and exploring government guidelines for healthy eating, dietary requirements to make healthy life choices. Promoting opportunities to explore food around the world through sensory testing.",,,,,,,
669,Food and Nutrition,Year 8,,,,,Food hygiene and safety,"Measurement, Ratio, Fractions",,,,,,,,"Descriptive adjectives, Subject specific terminology",Social- Promoting participation and teamwork in practical cooking lessons – encouraging pupils to work co-operatively. Allowing opportunities to share personal experiences in relation to food choices.,,,,,,,
